brgycode,name,district,voterscount,suffix
103504001,Abuno,3,3267,Abu
103504002,Bonbonon,4,1379,Bon
103504003,Bunawan,4,1079,Bun
103504005,Buru-un,3,6710,Bur
103504006,Dalipuga,1,9062,Dal
103504007,Digkilaan,4,2238,Dig
103504008,Hinaplanon,1,6931,HNP
103504010,Kabacsanan,4,1106,Kab
103504011,Kiwalan,1,3946,Kiw
103504012,Mahayahay,1,4006,Mah
103504013,Mainit,4,1265,Mai
103504014,Mandulog,4,1909,Man
103504015,Maria Cristina,3,5828,Mar
103504016,Palao,2,7094,Pal
103504017,Poblacion,2,3480,Pob
103504018,Puga-an,2,3388,Pug
103504019,Rogongon,4,2559,Rog
103504021,Santa Elena,3,3724,SNE
103504022,Santa Filomena,1,3658,SNF
103504024,Suarez,3,8905,Sua
103504025,Tambacan,3,6479,Tam
103504026,Saray-Tibanga,2,5353,Sar
103504027,Tipanoy,3,7678,Tip
103504028,Tominobo Proper,3,4712,TOP
103504029,Tominobo Upper,3,1505,TOU
103504030,Tubod,3,13488,Tub
103504031,Bagong Silang,1,3235,Bag
103504032,Del Carmen,2,4474,Del
103504033,Dulag,4,415,Dul
103504034,San Miguel,2,2568,San
103504035,Santiago,2,3891,San
103504036,Santo Rosario,1,1777,SNR
103504037,Tibanga,2,4873,Tib
103504038,Acmac,1,3121,Acm
103504039,Ditucalan,3,1876,Dit
103504040,Hindang,4,545,HND
103504041,Kalilangan,4,381,Kal
103504042,Lanipao,4,628,Lan
103504043,Luinab,1,3989,Lui
103504044,Panoroganan,4,397,Pan
103504045,San Roque,1,2241,SNQ
103504046,Ubaldo Laya,2,3890,Uba
103504047,Upper Hinaplanon,1,2677,Upp
103504048,Villa Verde,2,3503,Vil